N;Drift_x;Drift_y;Drift_z;|x|;|y|;|z|
100;-2,54E-07;7,97E-08;1,07E-08;2,53974E-07;7,97083E-08;1,06898E-08
500;-4,41E-08;-1,21E-08;1,20E-08;4,4129E-08;1,21085E-08;1,19552E-08
1000;-3,66E-08;-5,64E-08;9,68E-08;3,65888E-08;5,63661E-08;9,67759E-08
5000;-2,82E-09;1,99E-09;4,96E-08;2,82219E-09;1,98779E-09;4,96296E-08
10000;2,40E-09;8,32E-09;-7,26E-09;2,40322E-09;8,32438E-09;7,26295E-09
50000;-6,45E-09;-3,94E-09;-9,81E-09;6,45432E-09;3,93875E-09;9,81075E-09
100000;-1,42E-09;4,76E-10;-1,09E-08;1,42221E-09;4,76023E-10;1,08783E-08
;;;;;;
;;;;;;
POLE ;100 V/m;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
N;Drift_x;Drift_y;Drift_z;x/t;y/t ;z/t
1,00E-10;-1,46E-08;-1,65E-08;-1,74E-08;-1,46E+02;-1,65E+02;-1,74E+02
3,16E-10;2,12E-08;-1,75E-10;6,34E-08;6,70E+01;-5,54E-01;2,00E+02
1,00E-09;2,50E-08;5,36E-09;-1,46E-08;2,50E+01;5,36E+00;-1,46E+01
3,16E-09;-5,05E-08;-3,69E-08;2,71E-07;-1,60E+01;-1,17E+01;8,56E+01
1,00E-08;7,21E-08;8,08E-08;-8,97E-08;7,21E+00;8,08E+00;-8,97E+00
3,16E-08;-3,65E-07;7,42E-08;5,73E-07;-1,15E+01;2,35E+00;1,81E+01
;;;;;;
;;;;;;
;;;;;;
POLE ;100 V/m;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
N;Drift_x;Drift_y;Drift_z;;;
100;-2,54E-07;7,97E-08;1,07E-08;2,53974E-07;7,97083E-08;1,06898E-08
500;-4,41E-08;-1,21E-08;1,20E-08;4,4129E-08;1,21085E-08;1,19552E-08
1000;-3,66E-08;-5,64E-08;9,68E-08;3,65888E-08;5,63661E-08;9,67759E-08
5000;-2,82E-09;1,99E-09;4,96E-08;2,82219E-09;1,98779E-09;4,96296E-08
10000;2,40E-09;8,32E-09;-7,26E-09;2,40322E-09;8,32438E-09;7,26295E-09
50000;-6,45E-09;-3,94E-09;-9,81E-09;6,45432E-09;3,93875E-09;9,81075E-09
100000;-1,42E-09;4,76E-10;-1,09E-08;1,42221E-09;4,76023E-10;1,08783E-08
;;;;;;
;;;;;;
POLE ;100000 V/m;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
N;Drift_x;Drift_y;Drift_z;;;
1,00E-10;-1,46E-08;-1,65E-08;-1,74E-08;1,46E+02;1,65E+02;1,74E+02
3,16E-10;2,12E-08;-1,75E-10;6,34E-08;6,70E+01;5,54E-01;2,00E+02
1,00E-09;2,50E-08;5,36E-09;-1,46E-08;2,50E+01;5,36E+00;1,46E+01
3,16E-09;-5,05E-08;-3,69E-08;2,71E-07;1,60E+01;1,17E+01;8,56E+01
1,00E-08;7,21E-08;8,08E-08;-8,97E-08;7,21E+00;8,08E+00;8,97E+00
3,16E-08;-3,65E-07;7,42E-08;5,73E-07;1,15E+01;2,35E+00;1,81E+01
;;;;;;
;;;;;;
POLE ;0 V/m;;;;;
